GraphSize,Time(ns),Iterations
2863,4010179,11072
1515,1718943,5903
4731,6294852,18589
9594,7071713,38949
4876,1331144,18941
4149,1216141,18042
8385,4474285,34461
5082,1466466,19861
4219,1356815,17070
7346,4813644,31775
7400,4067284,28590
6990,3299421,32157
4055,1877677,15508
3855,2369005,15760
7758,3988449,30506
8391,3917560,34443
3223,1255540,13049
1966,1223675,8279
1336,532171,5279
4119,1263330,16877
2388,720292,9123
4772,1448617,20517
426,125838,1614
1886,680126,7482
8961,2964702,36104
7087,1541051,28532
8106,2062707,37811
3452,1086751,14329
118,280935,394
8860,2154277,37257
8662,6874746,33342
3469,883930,13644
3535,944871,14460
5918,1191774,22931
3955,1048217,15893
2974,902698,14048
6029,2430587,23094
2545,656772,10431
4258,1165876,17226
2048,842008,9569
1534,544628,5860
5409,1784758,22810
4251,1345725,17194
5019,2028232,21831
1040,269271,4547
8682,3609227,33826
3603,2029649,14169
4633,1544761,18072
6868,2439887,28222
2367,1153258,8764
